,App,Category,Rating,Reviews,Size,Installs,Price,Content Rating,GenrePrincipal,Last Updated,GenreSecondaire
0,Photo Editor & Candy Camera & Grid & ScrapBook,0,4.1,159,19000000,10000,0.0,0,0,2018-01-07,0
1,Coloring book moana,0,3.9,967,14000000,500000,0.0,0,0,2018-01-15,1
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",0,4.7,87510,8700000,5000000,0.0,0,0,2018-08-01,0
3,Sketch - Draw & Paint,0,4.5,215644,25000000,50000000,0.0,1,0,2018-06-08,0
4,Pixel Draw - Number Art Coloring Book,0,4.3,967,2800000,100000,0.0,0,0,2018-06-20,2
5,Paper flowers instructions,0,4.4,167,5600000,50000,0.0,0,0,2017-03-26,0
6,Smoke Effect Photo Maker - Smoke Editor,0,3.8,178,19000000,50000,0.0,0,0,2018-04-26,0
7,Infinite Painter,0,4.1,36815,29000000,1000000,0.0,0,0,2018-06-14,0
8,Garden Coloring Book,0,4.4,13791,33000000,1000000,0.0,0,0,2017-09-20,0
9,Kids Paint Free - Drawing Fun,0,4.7,121,3100000,10000,0.0,0,0,2018-07-03,2
10,Text on Photo - Fonteee,0,4.4,13880,28000000,1000000,0.0,0,0,2017-10-27,0
11,Name Art Photo Editor - Focus n Filters,0,4.4,8788,12000000,1000000,0.0,0,0,2018-07-31,0
12,Tattoo Name On My Photo Editor,0,4.2,44829,20000000,10000000,0.0,1,0,2018-04-02,0
13,Mandala Coloring Book,0,4.6,4326,21000000,100000,0.0,0,0,2018-06-26,0
14,3D Color Pixel by Number - Sandbox Art Coloring,0,4.4,1518,37000000,100000,0.0,0,0,2018-08-03,0
15,Learn To Draw Kawaii Characters,0,3.2,55,2700000,5000,0.0,0,0,2018-06-06,0
16,Photo Designer - Write your name with shapes,0,4.7,3632,5500000,500000,0.0,0,0,2018-07-31,0
17,350 Diy Room Decor Ideas,0,4.5,27,17000000,10000,0.0,0,0,2017-11-07,0
18,FlipaClip - Cartoon animation,0,4.3,194216,39000000,5000000,0.0,0,0,2018-08-03,0
19,ibis Paint X,0,4.6,224399,31000000,10000000,0.0,0,0,2018-07-30,0
20,Logo Maker - Small Business,0,4.0,450,14000000,100000,0.0,0,0,2018-04-20,0
21,Boys Photo Editor - Six Pack & Men's Suit,0,4.1,654,12000000,100000,0.0,0,0,2018-03-20,0
22,Superheroes Wallpapers | 4K Backgrounds,0,4.7,7699,4200000,500000,0.0,2,0,2018-07-12,0
23,Mcqueen Coloring pages,0,,61,7000000,100000,0.0,0,0,2018-03-07,3
24,HD Mickey Minnie Wallpapers,0,4.7,118,23000000,50000,0.0,0,0,2018-07-07,0
25,Harley Quinn wallpapers HD,0,4.8,192,6000000,10000,0.0,0,0,2018-04-25,0
26,Colorfit - Drawing & Coloring,0,4.7,20260,25000000,500000,0.0,0,0,2017-10-11,2
27,Animated Photo Editor,0,4.1,203,6100000,100000,0.0,0,0,2018-03-21,0
28,Pencil Sketch Drawing,0,3.9,136,4600000,10000,0.0,0,0,2018-07-12,0
29,Easy Realistic Drawing Tutorial,0,4.1,223,4200000,100000,0.0,0,0,2017-08-22,0
30,Pink Silver Bow Keyboard Theme,0,4.2,1120,9200000,100000,0.0,0,0,2018-07-12,0
31,Art Drawing Ideas,0,4.1,227,5200000,50000,0.0,0,0,2018-05-31,0
32,Anime Manga Coloring Book,0,4.5,5035,11000000,100000,0.0,0,0,2018-07-19,0
33,Easy Origami Ideas,0,4.2,1015,11000000,100000,0.0,0,0,2018-01-06,0
