App,Category,Rating,Reviews,Size,Installs,Price,Content Rating,GenrePrincipal,Last Updated,GenreSecondaire
Photo Editor & Candy Camera & Grid & ScrapBook,0,4.1,159,19000000,10000,0.0,0,0,2018-01-07,0
Coloring book moana,0,3.9,967,14000000,500000,0.0,0,0,2018-01-15,1
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",0,4.7,87510,8700000,5000000,0.0,0,0,2018-08-01,0
Sketch - Draw & Paint,0,4.5,215644,25000000,50000000,0.0,1,0,2018-06-08,0
Pixel Draw - Number Art Coloring Book,0,4.3,967,2800000,100000,0.0,0,0,2018-06-20,2
Paper flowers instructions,0,4.4,167,5600000,50000,0.0,0,0,2017-03-26,0
Smoke Effect Photo Maker - Smoke Editor,0,3.8,178,19000000,50000,0.0,0,0,2018-04-26,0
Infinite Painter,0,4.1,36815,29000000,1000000,0.0,0,0,2018-06-14,0
Garden Coloring Book,0,4.4,13791,33000000,1000000,0.0,0,0,2017-09-20,0
Kids Paint Free - Drawing Fun,0,4.7,121,3100000,10000,0.0,0,0,2018-07-03,2
Text on Photo - Fonteee,0,4.4,13880,28000000,1000000,0.0,0,0,2017-10-27,0
Name Art Photo Editor - Focus n Filters,0,4.4,8788,12000000,1000000,0.0,0,0,2018-07-31,0
Tattoo Name On My Photo Editor,0,4.2,44829,20000000,10000000,0.0,1,0,2018-04-02,0
Mandala Coloring Book,0,4.6,4326,21000000,100000,0.0,0,0,2018-06-26,0
3D Color Pixel by Number - Sandbox Art Coloring,0,4.4,1518,37000000,100000,0.0,0,0,2018-08-03,0
Learn To Draw Kawaii Characters,0,3.2,55,2700000,5000,0.0,0,0,2018-06-06,0
Photo Designer - Write your name with shapes,0,4.7,3632,5500000,500000,0.0,0,0,2018-07-31,0
350 Diy Room Decor Ideas,0,4.5,27,17000000,10000,0.0,0,0,2017-11-07,0
FlipaClip - Cartoon animation,0,4.3,194216,39000000,5000000,0.0,0,0,2018-08-03,0
ibis Paint X,0,4.6,224399,31000000,10000000,0.0,0,0,2018-07-30,0
Logo Maker - Small Business,0,4.0,450,14000000,100000,0.0,0,0,2018-04-20,0
Boys Photo Editor - Six Pack & Men's Suit,0,4.1,654,12000000,100000,0.0,0,0,2018-03-20,0
Superheroes Wallpapers | 4K Backgrounds,0,4.7,7699,4200000,500000,0.0,2,0,2018-07-12,0
Mcqueen Coloring pages,0,,61,7000000,100000,0.0,0,0,2018-03-07,3
HD Mickey Minnie Wallpapers,0,4.7,118,23000000,50000,0.0,0,0,2018-07-07,0
Harley Quinn wallpapers HD,0,4.8,192,6000000,10000,0.0,0,0,2018-04-25,0
Colorfit - Drawing & Coloring,0,4.7,20260,25000000,500000,0.0,0,0,2017-10-11,2
Animated Photo Editor,0,4.1,203,6100000,100000,0.0,0,0,2018-03-21,0
Pencil Sketch Drawing,0,3.9,136,4600000,10000,0.0,0,0,2018-07-12,0
Easy Realistic Drawing Tutorial,0,4.1,223,4200000,100000,0.0,0,0,2017-08-22,0
Pink Silver Bow Keyboard Theme,0,4.2,1120,9200000,100000,0.0,0,0,2018-07-12,0
Art Drawing Ideas,0,4.1,227,5200000,50000,0.0,0,0,2018-05-31,0
Anime Manga Coloring Book,0,4.5,5035,11000000,100000,0.0,0,0,2018-07-19,0
Easy Origami Ideas,0,4.2,1015,11000000,100000,0.0,0,0,2018-01-06,0
I Creative Idea,0,4.7,353,4200000,10000,0.0,1,0,2018-04-27,0
How to draw Ladybug and Cat Noir,0,3.8,564,9200000,100000,0.0,0,0,2018-07-11,0
UNICORN - Color By Number & Pixel Art Coloring,0,4.7,8145,24000000,500000,0.0,0,0,2018-08-02,2
PIP Camera - PIP Collage Maker,0,4.7,158,11000000,10000,0.0,0,0,2017-11-29,0
How To Color Disney Princess - Coloring Pages,0,4.0,591,9400000,500000,0.0,0,0,2018-03-31,0
Drawing Clothes Fashion Ideas,0,4.2,117,15000000,10000,0.0,0,0,2018-07-20,0
Sad Poetry Photo Frames 2018,0,4.5,176,10000000,100000,0.0,0,0,2018-04-02,0
Paint Splash!,0,3.8,2206,1200000,100000,0.0,0,0,2018-04-15,2
Popsicle Sticks and Similar DIY Craft Ideas,0,4.2,26,12000000,10000,0.0,0,0,2018-01-03,0
"Canva: Poster, banner, card maker & graphic design",0,4.7,174531,24000000,10000000,0.0,0,0,2018-07-31,0
Install images with music to make video without Net - 2018,0,4.6,1070,26000000,100000,0.0,0,0,2017-11-14,0
Little Teddy Bear Colouring Book Game,0,4.2,85,8000000,100000,0.0,0,0,2017-12-17,0
How To Draw Food,0,4.3,845,7900000,100000,0.0,0,0,2018-05-28,0
Monster Truck Stunt 3D 2019,1,4.2,367,25000000,100000,0.0,0,1,2018-05-10,0
Real Tractor Farming,1,4.0,1598,56000000,1000000,0.0,0,1,2018-07-26,0
Ultimate F1 Racing Championship,1,3.8,284,57000000,100000,0.0,0,1,2018-07-26,0
American Muscle Car Race,1,3.9,129,35000000,100000,0.0,0,1,2018-07-26,0
Offroad Oil Tanker Driver Transport Truck 2019,1,4.3,542,33000000,100000,0.0,0,1,2018-07-31,0
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,1,4.9,10479,33000000,100000,0.0,0,1,2018-07-18,0
Gas Prices (Germany only),1,4.4,805,5600000,50000,0.0,0,1,2018-07-29,0
Extreme Rally Championship,1,4.2,129,54000000,100000,0.0,0,1,2018-07-26,0
Restart Navigator,1,4.0,1403,201000,100000,0.0,0,1,2014-08-26,0
"REG - Check the regnumber, find information about Swedish vehicles",1,3.9,3971,3600000,100000,0.0,0,1,2018-07-30,0
CityBus Lviv,1,4.6,534,5700000,10000,0.0,0,1,2018-07-08,0
CDL Practice Test 2018 Edition,1,4.9,7774,17000000,100000,0.0,0,1,2018-07-03,0
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",1,4.3,38846,8600000,1000000,0.0,0,1,2018-07-28,0
Free VIN Report for Used Cars,1,4.6,2431,2400000,100000,0.0,0,1,2018-06-12,0
DMV Permit Practice Test 2018 Edition,1,4.9,6090,27000000,100000,0.0,0,1,2018-07-03,0
Check Vehicle Tax,1,3.9,295,2700000,10000,0.0,0,1,2018-07-30,0
Used Cars Mexico,1,4.0,190,2500000,50000,0.0,0,1,2016-10-14,0
Used cars for sale - Trovit,1,4.2,52530,7000000,5000000,0.0,0,1,2018-07-16,0
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",1,4.8,116986,35000000,5000000,0.0,0,1,2018-08-02,0
SK Enca Direct Malls - Used Cars Search,1,3.6,1379,16000000,500000,0.0,0,1,2018-08-02,0
"Android Auto - Maps, Media, Messaging & Voice",1,4.2,271920,16000000,10000000,0.0,1,1,2018-07-11,0
Tickets SDA 2019 + Exam RF,1,4.8,7021,17000000,500000,0.0,0,1,2018-07-27,0
Super Cars Wallpapers And Backgrounds,1,4.6,197,3400000,50000,0.0,0,1,2018-06-14,0
"Police Lights, Sirens & Follow Me",1,4.5,737,8900000,100000,0.0,0,1,2018-06-08,0
Police Detector (Speed Camera Radar),1,4.3,3574,3900000,1000000,0.0,2,1,2018-07-04,0
Best Car Wallpapers,1,4.5,994,2900000,100000,0.0,0,1,2018-03-27,0
Tickets + PDA 2018 Exam,1,4.9,197136,38000000,1000000,0.0,0,1,2018-07-15,0
Pick Your Part Garage,1,3.9,142,32000000,50000,0.0,0,1,2018-07-24,0
PakWheels: Buy & Sell Cars,1,4.4,15168,37000000,1000000,0.0,0,1,2018-07-27,0
Supervision service,1,4.0,2155,15000000,500000,0.0,0,1,2018-07-30,0
